size,block_size,assoc,predictor,miss_penalty,pipeline_depth,instructions,cycles,CPI,cache_stalls,cache_hitrate,branch_stalls,branch_hitrate
64,8,4,2,50,1,10000,260250,26.025,1375550,0.154,0,
64,8,4,2,50,5,10000,260250,26.025,1375550,0.154,0,
64,8,4,2,50,9,10000,260250,26.025,1375550,0.154,0,
64,8,4,2,50,13,10000,260250,26.025,1375550,0.154,0,
64,8,4,2,75,1,10000,385375,38.538,2063325,0.154,0,
64,8,4,2,75,5,10000,385375,38.538,2063325,0.154,0,
64,8,4,2,75,9,10000,385375,38.538,2063325,0.154,0,
64,8,4,2,75,13,10000,385375,38.538,2063325,0.154,0,
64,8,4,2,100,1,10000,510500,51.05,2751100,0.154,0,
64,8,4,2,100,5,10000,510500,51.05,2751100,0.154,0,
64,8,4,2,100,9,10000,510500,51.05,2751100,0.154,0,
64,8,4,2,100,13,10000,510500,51.05,2751100,0.154,0,
64,8,8,1,25,1,10000,135125,13.512,1437950,0.08,0,
64,8,8,1,25,5,10000,135125,13.512,1437950,0.08,0,
64,8,8,1,25,9,10000,135125,13.512,1437950,0.08,0,
64,8,8,1,25,13,10000,135125,13.512,1437950,0.08,0,
64,8,8,1,50,1,10000,260250,26.025,2875900,0.08,0,
64,8,8,1,50,5,10000,260250,26.025,2875900,0.08,0,
64,8,8,1,50,9,10000,260250,26.025,2875900,0.08,0,
64,8,8,1,50,13,10000,260250,26.025,2875900,0.08,0,
64,8,8,1,75,1,10000,385375,38.538,4313850,0.08,0,
64,8,8,1,75,5,10000,385375,38.538,4313850,0.08,0,
64,8,8,1,75,9,10000,385375,38.538,4313850,0.08,0,
64,8,8,1,75,13,10000,385375,38.538,4313850,0.08,0,
64,8,8,1,100,1,10000,510500,51.05,5751800,0.08,0,
64,8,8,1,100,5,10000,510500,51.05,5751800,0.08,0,
64,8,8,1,100,9,10000,510500,51.05,5751800,0.08,0,
64,8,8,1,100,13,10000,510500,51.05,5751800,0.08,0,
64,8,8,2,25,1,10000,135125,13.512,1437950,0.08,0,
64,8,8,2,25,5,10000,135125,13.512,1437950,0.08,0,
64,8,8,2,25,9,10000,135125,13.512,1437950,0.08,0,
64,8,8,2,25,13,10000,135125,13.512,1437950,0.08,0,
64,8,8,2,50,1,10000,260250,26.025,2875900,0.08,0,
64,8,8,2,50,5,10000,260250,26.025,2875900,0.08,0,
64,8,8,2,50,9,10000,260250,26.025,2875900,0.08,0,
64,8,8,2,50,13,10000,260250,26.025,2875900,0.08,0,
64,8,8,2,75,1,10000,385375,38.538,4313850,0.08,0,
64,8,8,2,75,5,10000,385375,38.538,4313850,0.08,0,
64,8,8,2,75,9,10000,385375,38.538,4313850,0.08,0,
64,8,8,2,75,13,10000,385375,38.538,4313850,0.08,0,
64,8,8,2,100,1,10000,510500,51.05,5751800,0.08,0,
64,8,8,2,100,5,10000,510500,51.05,5751800,0.08,0,
64,8,8,2,100,9,10000,510500,51.05,5751800,0.08,0,
64,8,8,2,100,13,10000,510500,51.05,5751800,0.08,0,
64,16,1,1,25,1,10000,72675,7.268,62675,0.749,0,
64,16,1,1,25,5,10000,72675,7.268,62675,0.749,0,
64,16,1,1,25,9,10000,72675,7.268,62675,0.749,0,
64,16,1,1,25,13,10000,72675,7.268,62675,0.749,0,
64,16,1,1,50,1,10000,135350,13.535,125350,0.749,0,
64,16,1,1,50,5,10000,135350,13.535,125350,0.749,0,
64,16,1,1,50,9,10000,135350,13.535,125350,0.749,0,
64,16,1,1,50,13,10000,135350,13.535,125350,0.749,0,
64,16,1,1,75,1,10000,198025,19.802,188025,0.749,0,
64,16,1,1,75,5,10000,198025,19.802,188025,0.749,0,
64,16,1,1,75,9,10000,198025,19.802,188025,0.749,0,
64,16,1,1,75,13,10000,198025,19.802,188025,0.749,0,
64,16,1,1,100,1,10000,260700,26.07,250700,0.749,0,
64,16,1,1,100,5,10000,260700,26.07,250700,0.749,0,
64,16,1,1,100,9,10000,260700,26.07,250700,0.749,0,
64,16,1,1,100,13,10000,260700,26.07,250700,0.749,0,
64,16,1,2,25,1,10000,72675,7.268,62675,0.749,0,
64,16,1,2,25,5,10000,72675,7.268,62675,0.749,0,
64,16,1,2,25,9,10000,72675,7.268,62675,0.749,0,
64,16,1,2,25,13,10000,72675,7.268,62675,0.749,0,
64,16,1,2,50,1,10000,135350,13.535,125350,0.749,0,
64,16,1,2,50,5,10000,135350,13.535,125350,0.749,0,
64,16,1,2,50,9,10000,135350,13.535,125350,0.749,0,
64,16,1,2,50,13,10000,135350,13.535,125350,0.749,0,
64,16,1,2,75,1,10000,198025,19.802,188025,0.749,0,
64,16,1,2,75,5,10000,198025,19.802,188025,0.749,0,
64,16,1,2,75,9,10000,198025,19.802,188025,0.749,0,
64,16,1,2,75,13,10000,198025,19.802,188025,0.749,0,
64,16,1,2,100,1,10000,260700,26.07,250700,0.749,0,
64,16,1,2,100,5,10000,260700,26.07,250700,0.749,0,
64,16,1,2,100,9,10000,260700,26.07,250700,0.749,0,
64,16,1,2,100,13,10000,260700,26.07,250700,0.749,0,
64,16,2,1,25,1,10000,72675,7.268,219025,0.461,0,
64,16,2,1,25,5,10000,72675,7.268,219025,0.461,0,
64,16,2,1,25,9,10000,72675,7.268,219025,0.461,0,
64,16,2,1,25,13,10000,72675,7.268,219025,0.461,0,
64,16,2,1,50,1,10000,135350,13.535,438050,0.461,0,
64,16,2,1,50,5,10000,135350,13.535,438050,0.461,0,
64,16,2,1,50,9,10000,135350,13.535,438050,0.461,0,
64,16,2,1,50,13,10000,135350,13.535,438050,0.461,0,
64,16,2,1,75,1,10000,198025,19.802,657075,0.461,0,
64,16,2,1,75,5,10000,198025,19.802,657075,0.461,0,
64,16,2,1,75,9,10000,198025,19.802,657075,0.461,0,
64,16,2,1,75,13,10000,198025,19.802,657075,0.461,0,
64,16,2,1,100,1,10000,260700,26.07,876100,0.461,0,
64,16,2,1,100,5,10000,260700,26.07,876100,0.461,0,
64,16,2,1,100,9,10000,260700,26.07,876100,0.461,0,
64,16,2,1,100,13,10000,260700,26.07,876100,0.461,0,
64,16,2,2,25,1,10000,72675,7.268,219025,0.461,0,
64,16,2,2,25,5,10000,72675,7.268,219025,0.461,0,
64,16,2,2,25,9,10000,72675,7.268,219025,0.461,0,
64,16,2,2,25,13,10000,72675,7.268,219025,0.461,0,
64,16,2,2,50,1,10000,135350,13.535,438050,0.461,0,
64,16,2,2,50,5,10000,135350,13.535,438050,0.461,0,
64,16,2,2,50,9,10000,135350,13.535,438050,0.461,0,
