size,block_size,assoc,predictor,miss_penalty,pipeline_depth,instructions,cycles,CPI,cache_stalls,cache_hitrate,branch_stalls,branch_hitrate
64,8,4,1,100,1,10000,407722,40.772,1898000,0.097,622,0.757
64,8,4,1,100,5,10000,410210,41.021,1898000,0.097,3110,0.757
64,8,4,1,100,9,10000,412698,41.27,1898000,0.097,5598,0.757
64,8,4,1,100,13,10000,415186,41.519,1898000,0.097,8086,0.757
64,8,4,2,25,1,10000,109618,10.962,474500,0.097,343,0.866
64,8,4,2,25,5,10000,110990,11.099,474500,0.097,1715,0.866
64,8,4,2,25,9,10000,112362,11.236,474500,0.097,3087,0.866
64,8,4,2,25,13,10000,113734,11.373,474500,0.097,4459,0.866
64,8,4,2,50,1,10000,208893,20.889,949000,0.097,343,0.866
64,8,4,2,50,5,10000,210265,21.026,949000,0.097,1715,0.866
64,8,4,2,50,9,10000,211637,21.164,949000,0.097,3087,0.866
64,8,4,2,50,13,10000,213009,21.301,949000,0.097,4459,0.866
64,8,4,2,75,1,10000,308168,30.817,1423500,0.097,343,0.866
64,8,4,2,75,5,10000,309540,30.954,1423500,0.097,1715,0.866
64,8,4,2,75,9,10000,310912,31.091,1423500,0.097,3087,0.866
64,8,4,2,75,13,10000,312284,31.228,1423500,0.097,4459,0.866
64,8,4,2,100,1,10000,407443,40.744,1898000,0.097,343,0.866
64,8,4,2,100,5,10000,408815,40.882,1898000,0.097,1715,0.866
64,8,4,2,100,9,10000,410187,41.019,1898000,0.097,3087,0.866
64,8,4,2,100,13,10000,411559,41.156,1898000,0.097,4459,0.866
64,8,8,1,25,1,10000,109847,10.985,973225,0.05,622,0.757
64,8,8,1,25,5,10000,112335,11.233,973225,0.05,3110,0.757
64,8,8,1,25,9,10000,114823,11.482,973225,0.05,5598,0.757
64,8,8,1,25,13,10000,117311,11.731,973225,0.05,8086,0.757
64,8,8,1,50,1,10000,209072,20.907,1946450,0.05,622,0.757
64,8,8,1,50,5,10000,211560,21.156,1946450,0.05,3110,0.757
64,8,8,1,50,9,10000,214048,21.405,1946450,0.05,5598,0.757
64,8,8,1,50,13,10000,216536,21.654,1946450,0.05,8086,0.757
64,8,8,1,75,1,10000,308297,30.83,2919675,0.05,622,0.757
64,8,8,1,75,5,10000,310785,31.078,2919675,0.05,3110,0.757
64,8,8,1,75,9,10000,313273,31.327,2919675,0.05,5598,0.757
64,8,8,1,75,13,10000,315761,31.576,2919675,0.05,8086,0.757
64,8,8,1,100,1,10000,407522,40.752,3892900,0.05,622,0.757
64,8,8,1,100,5,10000,410010,41.001,3892900,0.05,3110,0.757
64,8,8,1,100,9,10000,412498,41.25,3892900,0.05,5598,0.757
64,8,8,1,100,13,10000,414986,41.499,3892900,0.05,8086,0.757
64,8,8,2,25,1,10000,109568,10.957,973225,0.05,343,0.866
64,8,8,2,25,5,10000,110940,11.094,973225,0.05,1715,0.866
64,8,8,2,25,9,10000,112312,11.231,973225,0.05,3087,0.866
64,8,8,2,25,13,10000,113684,11.368,973225,0.05,4459,0.866
64,8,8,2,50,1,10000,208793,20.879,1946450,0.05,343,0.866
64,8,8,2,50,5,10000,210165,21.017,1946450,0.05,1715,0.866
64,8,8,2,50,9,10000,211537,21.154,1946450,0.05,3087,0.866
64,8,8,2,50,13,10000,212909,21.291,1946450,0.05,4459,0.866
64,8,8,2,75,1,10000,308018,30.802,2919675,0.05,343,0.866
64,8,8,2,75,5,10000,309390,30.939,2919675,0.05,1715,0.866
64,8,8,2,75,9,10000,310762,31.076,2919675,0.05,3087,0.866
64,8,8,2,75,13,10000,312134,31.213,2919675,0.05,4459,0.866
64,8,8,2,100,1,10000,407243,40.724,3892900,0.05,343,0.866
64,8,8,2,100,5,10000,408615,40.861,3892900,0.05,1715,0.866
64,8,8,2,100,9,10000,409987,40.999,3892900,0.05,3087,0.866
64,8,8,2,100,13,10000,411359,41.136,3892900,0.05,4459,0.866
64,16,1,1,25,1,10000,85697,8.57,75075,0.501,622,0.757
64,16,1,1,25,5,10000,88185,8.819,75075,0.501,3110,0.757
64,16,1,1,25,9,10000,90673,9.067,75075,0.501,5598,0.757
64,16,1,1,25,13,10000,93161,9.316,75075,0.501,8086,0.757
64,16,1,1,50,1,10000,160772,16.077,150150,0.501,622,0.757
64,16,1,1,50,5,10000,163260,16.326,150150,0.501,3110,0.757
64,16,1,1,50,9,10000,165748,16.575,150150,0.501,5598,0.757
64,16,1,1,50,13,10000,168236,16.824,150150,0.501,8086,0.757
64,16,1,1,75,1,10000,235847,23.585,225225,0.501,622,0.757
64,16,1,1,75,5,10000,238335,23.834,225225,0.501,3110,0.757
64,16,1,1,75,9,10000,240823,24.082,225225,0.501,5598,0.757
64,16,1,1,75,13,10000,243311,24.331,225225,0.501,8086,0.757
64,16,1,1,100,1,10000,310922,31.092,300300,0.501,622,0.757
64,16,1,1,100,5,10000,313410,31.341,300300,0.501,3110,0.757
64,16,1,1,100,9,10000,315898,31.59,300300,0.501,5598,0.757
64,16,1,1,100,13,10000,318386,31.839,300300,0.501,8086,0.757
64,16,1,2,25,1,10000,85418,8.542,75075,0.501,343,0.866
64,16,1,2,25,5,10000,86790,8.679,75075,0.501,1715,0.866
64,16,1,2,25,9,10000,88162,8.816,75075,0.501,3087,0.866
64,16,1,2,25,13,10000,89534,8.953,75075,0.501,4459,0.866
64,16,1,2,50,1,10000,160493,16.049,150150,0.501,343,0.866
64,16,1,2,50,5,10000,161865,16.186,150150,0.501,1715,0.866
64,16,1,2,50,9,10000,163237,16.324,150150,0.501,3087,0.866
64,16,1,2,50,13,10000,164609,16.461,150150,0.501,4459,0.866
64,16,1,2,75,1,10000,235568,23.557,225225,0.501,343,0.866
64,16,1,2,75,5,10000,236940,23.694,225225,0.501,1715,0.866
64,16,1,2,75,9,10000,238312,23.831,225225,0.501,3087,0.866
64,16,1,2,75,13,10000,239684,23.968,225225,0.501,4459,0.866
64,16,1,2,100,1,10000,310643,31.064,300300,0.501,343,0.866
64,16,1,2,100,5,10000,312015,31.201,300300,0.501,1715,0.866
64,16,1,2,100,9,10000,313387,31.339,300300,0.501,3087,0.866
64,16,1,2,100,13,10000,314759,31.476,300300,0.501,4459,0.866
64,16,2,1,25,1,10000,85772,8.577,188175,0.286,622,0.757
64,16,2,1,25,5,10000,88260,8.826,188175,0.286,3110,0.757
64,16,2,1,25,9,10000,90748,9.075,188175,0.286,5598,0.757
64,16,2,1,25,13,10000,93236,9.324,188175,0.286,8086,0.757
64,16,2,1,50,1,10000,160922,16.092,376350,0.286,622,0.757
64,16,2,1,50,5,10000,163410,16.341,376350,0.286,3110,0.757
64,16,2,1,50,9,10000,165898,16.59,376350,0.286,5598,0.757
64,16,2,1,50,13,10000,168386,16.839,376350,0.286,8086,0.757
64,16,2,1,75,1,10000,236072,23.607,564525,0.286,622,0.757
64,16,2,1,75,5,10000,238560,23.856,564525,0.286,3110,0.757
64,16,2,1,75,9,10000,241048,24.105,564525,0.286,5598,0.757
64,16,2,1,75,13,10000,243536,24.354,564525,0.286,8086,0.757
64,16,2,1,100,1,10000,311222,31.122,752700,0.286,622,0.757
64,16,2,1,100,5,10000,313710,31.371,752700,0.286,3110,0.757
64,16,2,1,100,9,10000,316198,31.62,752700,0.286,5598,0.757
64,16,2,1,100,13,10000,318686,31.869,752700,0.286,8086,0.757
64,16,2,2,25,1,10000,85493,8.549,188175,0.286,343,0.866
64,16,2,2,25,5,10000,86865,8.687,188175,0.286,1715,0.866
64,16,2,2,25,9,10000,88237,8.824,188175,0.286,3087,0.866
64,16,2,2,25,13,10000,89609,8.961,188175,0.286,4459,0.866
64,16,2,2,50,1,10000,160643,16.064,376350,0.286,343,0.866
64,16,2,2,50,5,10000,162015,16.201,376350,0.286,1715,0.866
64,16,2,2,50,9,10000,163387,16.339,376350,0.286,3087,0.866
64,16,2,2,50,13,10000,164759,16.476,376350,0.286,4459,0.866
64,16,2,2,75,1,10000,235793,23.579,564525,0.286,343,0.866
64,16,2,2,75,5,10000,237165,23.716,564525,0.286,1715,0.866
64,16,2,2,75,9,10000,238537,23.854,564525,0.286,3087,0.866
64,16,2,2,75,13,10000,239909,23.991,564525,0.286,4459,0.866
64,16,2,2,100,1,10000,310943,31.094,752700,0.286,343,0.866
64,16,2,2,100,5,10000,312315,31.232,752700,0.286,1715,0.866
64,16,2,2,100,9,10000,313687,31.369,752700,0.286,3087,0.866
64,16,2,2,100,13,10000,315059,31.506,752700,0.286,4459,0.866
64,16,4,1,25,1,10000,85897,8.59,414975,0.153,622,0.757
64,16,4,1,25,5,10000,88385,8.838,414975,0.153,3110,0.757
64,16,4,1,25,9,10000,90873,9.087,414975,0.153,5598,0.757
64,16,4,1,25,13,10000,93361,9.336,414975,0.153,8086,0.757
64,16,4,1,50,1,10000,161172,16.117,829950,0.153,622,0.757
64,16,4,1,50,5,10000,163660,16.366,829950,0.153,3110,0.757
64,16,4,1,50,9,10000,166148,16.615,829950,0.153,5598,0.757
64,16,4,1,50,13,10000,168636,16.864,829950,0.153,8086,0.757
64,16,4,1,75,1,10000,236447,23.645,1244925,0.153,622,0.757
64,16,4,1,75,5,10000,238935,23.893,1244925,0.153,3110,0.757
64,16,4,1,75,9,10000,241423,24.142,1244925,0.153,5598,0.757
64,16,4,1,75,13,10000,243911,24.391,1244925,0.153,8086,0.757
64,16,4,1,100,1,10000,311722,31.172,1659900,0.153,622,0.757
64,16,4,1,100,5,10000,314210,31.421,1659900,0.153,3110,0.757
64,16,4,1,100,9,10000,316698,31.67,1659900,0.153,5598,0.757
64,16,4,1,100,13,10000,319186,31.919,1659900,0.153,8086,0.757
64,16,4,2,25,1,10000,85618,8.562,414975,0.153,343,0.866
64,16,4,2,25,5,10000,86990,8.699,414975,0.153,1715,0.866
64,16,4,2,25,9,10000,88362,8.836,414975,0.153,3087,0.866
64,16,4,2,25,13,10000,89734,8.973,414975,0.153,4459,0.866
64,16,4,2,50,1,10000,160893,16.089,829950,0.153,343,0.866
64,16,4,2,50,5,10000,162265,16.227,829950,0.153,1715,0.866
64,16,4,2,50,9,10000,163637,16.364,829950,0.153,3087,0.866
64,16,4,2,50,13,10000,165009,16.501,829950,0.153,4459,0.866
64,16,4,2,75,1,10000,236168,23.617,1244925,0.153,343,0.866
64,16,4,2,75,5,10000,237540,23.754,1244925,0.153,1715,0.866
64,16,4,2,75,9,10000,238912,23.891,1244925,0.153,3087,0.866
64,16,4,2,75,13,10000,240284,24.028,1244925,0.153,4459,0.866
64,16,4,2,100,1,10000,311443,31.144,1659900,0.153,343,0.866
64,16,4,2,100,5,10000,312815,31.282,1659900,0.153,1715,0.866
64,16,4,2,100,9,10000,314187,31.419,1659900,0.153,3087,0.866
64,16,4,2,100,13,10000,315559,31.556,1659900,0.153,4459,0.866
64,32,1,1,25,1,10000,73072,7.307,62450,0.585,622,0.757
64,32,1,1,25,5,10000,75560,7.556,62450,0.585,3110,0.757
64,32,1,1,25,9,10000,78048,7.805,62450,0.585,5598,0.757
64,32,1,1,25,13,10000,80536,8.054,62450,0.585,8086,0.757
64,32,1,1,50,1,10000,135522,13.552,124900,0.585,622,0.757
64,32,1,1,50,5,10000,138010,13.801,124900,0.585,3110,0.757
64,32,1,1,50,9,10000,140498,14.05,124900,0.585,5598,0.757
64,32,1,1,50,13,10000,142986,14.299,124900,0.585,8086,0.757
64,32,1,1,75,1,10000,197972,19.797,187350,0.585,622,0.757
64,32,1,1,75,5,10000,200460,20.046,187350,0.585,3110,0.757
64,32,1,1,75,9,10000,202948,20.295,187350,0.585,5598,0.757
64,32,1,1,75,13,10000,205436,20.544,187350,0.585,8086,0.757
64,32,1,1,100,1,10000,260422,26.042,249800,0.585,622,0.757
64,32,1,1,100,5,10000,262910,26.291,249800,0.585,3110,0.757
64,32,1,1,100,9,10000,265398,26.54,249800,0.585,5598,0.757
64,32,1,1,100,13,10000,267886,26.789,249800,0.585,8086,0.757
64,32,1,2,25,1,10000,72793,7.279,62450,0.585,343,0.866
64,32,1,2,25,5,10000,74165,7.417,62450,0.585,1715,0.866
64,32,1,2,25,9,10000,75537,7.554,62450,0.585,3087,0.866
64,32,1,2,25,13,10000,76909,7.691,62450,0.585,4459,0.866
64,32,1,2,50,1,10000,135243,13.524,124900,0.585,343,0.866
64,32,1,2,50,5,10000,136615,13.662,124900,0.585,1715,0.866
64,32,1,2,50,9,10000,137987,13.799,124900,0.585,3087,0.866
64,32,1,2,50,13,10000,139359,13.936,124900,0.585,4459,0.866
64,32,1,2,75,1,10000,197693,19.769,187350,0.585,343,0.866
64,32,1,2,75,5,10000,199065,19.907,187350,0.585,1715,0.866
64,32,1,2,75,9,10000,200437,20.044,187350,0.585,3087,0.866
64,32,1,2,75,13,10000,201809,20.181,187350,0.585,4459,0.866
64,32,1,2,100,1,10000,260143,26.014,249800,0.585,343,0.866
64,32,1,2,100,5,10000,261515,26.151,249800,0.585,1715,0.866
64,32,1,2,100,9,10000,262887,26.289,249800,0.585,3087,0.866
64,32,1,2,100,13,10000,264259,26.426,249800,0.585,4459,0.866
64,32,2,1,25,1,10000,73247,7.325,168200,0.343,622,0.757
64,32,2,1,25,5,10000,75735,7.574,168200,0.343,3110,0.757
64,32,2,1,25,9,10000,78223,7.822,168200,0.343,5598,0.757
64,32,2,1,25,13,10000,80711,8.071,168200,0.343,8086,0.757
64,32,2,1,50,1,10000,135872,13.587,336400,0.343,622,0.757
64,32,2,1,50,5,10000,138360,13.836,336400,0.343,3110,0.757
64,32,2,1,50,9,10000,140848,14.085,336400,0.343,5598,0.757
64,32,2,1,50,13,10000,143336,14.334,336400,0.343,8086,0.757
64,32,2,1,75,1,10000,198497,19.85,504600,0.343,622,0.757
64,32,2,1,75,5,10000,200985,20.099,504600,0.343,3110,0.757
64,32,2,1,75,9,10000,203473,20.347,504600,0.343,5598,0.757
64,32,2,1,75,13,10000,205961,20.596,504600,0.343,8086,0.757
64,32,2,1,100,1,10000,261122,26.112,672800,0.343,622,0.757
64,32,2,1,100,5,10000,263610,26.361,672800,0.343,3110,0.757
64,32,2,1,100,9,10000,266098,26.61,672800,0.343,5598,0.757
64,32,2,1,100,13,10000,268586,26.859,672800,0.343,8086,0.757
64,32,2,2,25,1,10000,72968,7.297,168200,0.343,343,0.866
64,32,2,2,25,5,10000,74340,7.434,168200,0.343,1715,0.866
64,32,2,2,25,9,10000,75712,7.571,168200,0.343,3087,0.866
64,32,2,2,25,13,10000,77084,7.708,168200,0.343,4459,0.866
64,32,2,2,50,1,10000,135593,13.559,336400,0.343,343,0.866
64,32,2,2,50,5,10000,136965,13.697,336400,0.343,1715,0.866
64,32,2,2,50,9,10000,138337,13.834,336400,0.343,3087,0.866
64,32,2,2,50,13,10000,139709,13.971,336400,0.343,4459,0.866
64,32,2,2,75,1,10000,198218,19.822,504600,0.343,343,0.866
64,32,2,2,75,5,10000,199590,19.959,504600,0.343,1715,0.866
64,32,2,2,75,9,10000,200962,20.096,504600,0.343,3087,0.866
64,32,2,2,75,13,10000,202334,20.233,504600,0.343,4459,0.866
64,32,2,2,100,1,10000,260843,26.084,672800,0.343,343,0.866
64,32,2,2,100,5,10000,262215,26.221,672800,0.343,1715,0.866
64,32,2,2,100,9,10000,263587,26.359,672800,0.343,3087,0.866
64,32,2,2,100,13,10000,264959,26.496,672800,0.343,4459,0.866
128,8,1,1,25,1,10000,109397,10.94,98775,0.344,622,0.757
128,8,1,1,25,5,10000,111885,11.188,98775,0.344,3110,0.757
128,8,1,1,25,9,10000,114373,11.437,98775,0.344,5598,0.757
128,8,1,1,25,13,10000,116861,11.686,98775,0.344,8086,0.757
128,8,1,1,50,1,10000,208172,20.817,197550,0.344,622,0.757
128,8,1,1,50,5,10000,210660,21.066,197550,0.344,3110,0.757
128,8,1,1,50,9,10000,213148,21.315,197550,0.344,5598,0.757
128,8,1,1,50,13,10000,215636,21.564,197550,0.344,8086,0.757
128,8,1,1,75,1,10000,306947,30.695,296325,0.344,622,0.757
128,8,1,1,75,5,10000,309435,30.944,296325,0.344,3110,0.757
128,8,1,1,75,9,10000,311923,31.192,296325,0.344,5598,0.757
128,8,1,1,75,13,10000,314411,31.441,296325,0.344,8086,0.757
128,8,1,1,100,1,10000,405722,40.572,395100,0.344,622,0.757
128,8,1,1,100,5,10000,408210,40.821,395100,0.344,3110,0.757
128,8,1,1,100,9,10000,410698,41.07,395100,0.344,5598,0.757
128,8,1,1,100,13,10000,413186,41.319,395100,0.344,8086,0.757
128,8,1,2,25,1,10000,109118,10.912,98775,0.344,343,0.866
128,8,1,2,25,5,10000,110490,11.049,98775,0.344,1715,0.866
128,8,1,2,25,9,10000,111862,11.186,98775,0.344,3087,0.866
128,8,1,2,25,13,10000,113234,11.323,98775,0.344,4459,0.866
128,8,1,2,50,1,10000,207893,20.789,197550,0.344,343,0.866
128,8,1,2,50,5,10000,209265,20.927,197550,0.344,1715,0.866
128,8,1,2,50,9,10000,210637,21.064,197550,0.344,3087,0.866
128,8,1,2,50,13,10000,212009,21.201,197550,0.344,4459,0.866
128,8,1,2,75,1,10000,306668,30.667,296325,0.344,343,0.866
128,8,1,2,75,5,10000,308040,30.804,296325,0.344,1715,0.866
128,8,1,2,75,9,10000,309412,30.941,296325,0.344,3087,0.866
128,8,1,2,75,13,10000,310784,31.078,296325,0.344,4459,0.866
128,8,1,2,100,1,10000,405443,40.544,395100,0.344,343,0.866
128,8,1,2,100,5,10000,406815,40.681,395100,0.344,1715,0.866
128,8,1,2,100,9,10000,408187,40.819,395100,0.344,3087,0.866
128,8,1,2,100,13,10000,409559,40.956,395100,0.344,4459,0.866
128,8,2,1,25,1,10000,109247,10.925,223000,0.189,622,0.757
128,8,2,1,25,5,10000,111735,11.174,223000,0.189,3110,0.757
128,8,2,1,25,9,10000,114223,11.422,223000,0.189,5598,0.757
128,8,2,1,25,13,10000,116711,11.671,223000,0.189,8086,0.757
128,8,2,1,50,1,10000,207872,20.787,446000,0.189,622,0.757
128,8,2,1,50,5,10000,210360,21.036,446000,0.189,3110,0.757
128,8,2,1,50,9,10000,212848,21.285,446000,0.189,5598,0.757
128,8,2,1,50,13,10000,215336,21.534,446000,0.189,8086,0.757
128,8,2,1,75,1,10000,306497,30.65,669000,0.189,622,0.757
128,8,2,1,75,5,10000,308985,30.898,669000,0.189,3110,0.757
128,8,2,1,75,9,10000,311473,31.147,669000,0.189,5598,0.757
128,8,2,1,75,13,10000,313961,31.396,669000,0.189,8086,0.757
128,8,2,1,100,1,10000,405122,40.512,892000,0.189,622,0.757
128,8,2,1,100,5,10000,407610,40.761,892000,0.189,3110,0.757
128,8,2,1,100,9,10000,410098,41.01,892000,0.189,5598,0.757
128,8,2,1,100,13,10000,412586,41.259,892000,0.189,8086,0.757
128,8,2,2,25,1,10000,108968,10.897,223000,0.189,343,0.866
128,8,2,2,25,5,10000,110340,11.034,223000,0.189,1715,0.866
